frame,t,dt,tx,ty,tz,qw,qx,qy,qz
53,1.6060606,0.0303030,0.1208164,0.0024424,0.0006701,0.9999394,-0.0033562,-0.0028064,0.0100977
54,1.6363637,0.0303030,0.1191749,0.0024835,0.0006973,0.9999377,-0.0027747,-0.0029533,0.0104084
55,1.6666667,0.0303030,0.1172946,0.0025166,0.0007197,0.9999350,-0.0023522,-0.0030922,0.0107180
56,1.6969697,0.0303030,0.1151901,0.0025451,0.0007388,0.9999318,-0.0020775,-0.0032292,0.0110386
57,1.7272727,0.0303030,0.1128819,0.0025718,0.0007561,0.9999276,-0.0019393,-0.0033706,0.0113812
58,1.7575758,0.0303030,0.1103882,0.0025973,0.0007728,0.9999229,-0.0019262,-0.0035228,0.0117568
59,1.7878789,0.0303030,0.1077319,0.0026256,0.0007904,0.9999170,-0.0020256,-0.0036924,0.0121759
60,1.8181819,0.0303030,0.1049363,0.0026573,0.0008100,0.9999100,-0.0022236,-0.0038863,0.0126491
61,1.8484849,0.0303030,0.1020268,0.0026932,0.0008323,0.9999015,-0.0025035,-0.0041116,0.0131861
62,1.8787880,0.0303030,0.0990301,0.0027353,0.0008590,0.9998912,-0.0028454,-0.0043752,0.0137957
63,1.9090910,0.0303030,0.0959765,0.0027844,0.0008903,0.9998789,-0.0032257,-0.0046838,0.0144857
64,1.9393940,0.0303030,0.0928968,0.0028395,0.0009270,0.9998643,-0.0036159,-0.0050437,0.0152609
65,1.9696970,0.0303030,0.0898222,0.0029019,0.0009697,0.9998472,-0.0039836,-0.0054594,0.0161234
66,2.0000000,0.0303030,0.0867882,0.0029687,0.0010177,0.9998275,-0.0042910,-0.0059333,0.0170701
67,2.0303030,0.0303030,0.0838280,0.0030401,0.0010709,0.9998140,-0.0016856,-0.0064129,0.0181102
68,2.0606060,0.0303030,0.0809790,0.0031184,0.0011099,0.9997914,-0.0001842,-0.0068519,0.0192419
69,2.0909092,0.0303030,0.0782778,0.0032001,0.0011401,0.9997649,-0.0002017,-0.0072808,0.0204241
70,2.1212122,0.0303030,0.0757589,0.0032763,0.0011688,0.9997368,-0.0002200,-0.0077133,0.0216077
71,2.1515152,0.0303030,0.0734573,0.0033441,0.0011948,0.9997084,-0.0002383,-0.0081312,0.0227407
72,2.1818182,0.0303030,0.0714040,0.0033968,0.0012159,0.9996814,-0.0002557,-0.0085121,0.0237602
73,2.2121212,0.0303030,0.0696253,0.0034288,0.0012300,0.9996585,-0.0002712,-0.0088305,0.0245963
74,2.2424242,0.0303030,0.0681406,0.0034358,0.0012353,0.9996419,-0.0002833,-0.0090604,0.0251777
75,2.2727273,0.0303030,0.0669629,0.0034110,0.0012295,0.9996342,-0.0002910,-0.0091780,0.0254407
76,2.3030305,0.0303030,0.0660965,0.0033537,0.0012119,0.9996369,-0.0002935,-0.0091650,0.0253377
77,2.3333335,0.0303030,0.0655325,0.0032599,0.0011813,0.9996507,-0.0002901,-0.0090112,0.0248447
78,2.3636365,0.0303030,0.0652527,0.0031280,0.0011367,0.9996753,-0.0002806,-0.0087092,0.0239464
79,2.3939395,0.0303030,0.0652196,0.0029586,0.0010780,0.9996909,0.0060053,-0.0081219,0.0227145
80,2.4242425,0.0303030,0.0653907,0.0027691,0.0009724,0.9996892,0.0108965,-0.0071982,0.0212375
81,2.4545455,0.0303030,0.0657171,0.0025577,0.0008368,0.9997138,0.0123890,-0.0061215,0.0195267
82,2.4848485,0.0303030,0.0661530,0.0023226,0.0006974,0.9997394,0.0136210,-0.0050289,0.0176163
83,2.5151515,0.0303030,0.0666487,0.0020677,0.0005606,0.9997644,0.0145982,-0.0039767,0.0155638
84,2.5454545,0.0303030,0.0671600,0.0017967,0.0004317,0.9997877,0.0153431,-0.0030084,0.0134192
85,2.5757577,0.0303030,0.0676461,0.0015134,0.0003156,0.9998084,0.0158896,-0.0021544,0.0112220
86,2.6060607,0.0303030,0.0680726,0.0012225,0.0002151,0.9998260,0.0162785,-0.0014336,0.0090006
87,2.6363637,0.0303030,0.0684097,0.0009247,0.0001326,0.9998398,0.0165511,-0.0008563,0.0067726
88,2.6666667,0.0303030,0.0686341,0.0006227,0.0000690,0.9998494,0.0167444,-0.0004269,0.0045456
89,2.6969697,0.0303030,0.0687322,0.0003184,0.0000256,0.9998547,0.0168879,-0.0001470,0.0023203
90,2.7272727,0.0303030,0.0686964,0.0000129,0.0000027,0.9998555,0.0170002,-0.0000175,0.0000920
91,2.7575758,0.0303030,0.0685272,-0.0002946,0.0000004,0.9998518,0.0170837,-0.0000399,-0.0021456
92,2.7878790,0.0303030,0.0682338,-0.0005977,0.0000192,0.9998462,0.0169847,-0.0002150,-0.0043788
93,2.8181820,0.0303030,0.0678337,-0.0008965,0.0000584,0.9998378,0.0167539,-0.0005405,-0.0065994
94,2.8484850,0.0303030,0.0673505,-0.0011872,0.0001168,0.9998260,0.0164194,-0.0010117,-0.0088010
95,2.8787880,0.0303030,0.0668169,-0.0014685,0.0001931,0.9998121,0.0159034,-0.0016188,-0.0109628
96,2.9090910,0.0303030,0.0662745,-0.0017349,0.0002845,0.9997977,0.0151251,-0.0023423,-0.0130483
97,2.9393940,0.0303030,0.0657696,-0.0019802,0.0003868,0.9997845,0.0140011,-0.0031485,-0.0150032
98,2.9696970,0.0303030,0.0652909,-0.0021572,0.0004842,0.9998027,0.0103970,-0.0038773,-0.0164745
99,3.0000000,0.0303030,0.0648320,-0.0022953,0.0005650,0.9998009,0.0081493,-0.0044979,-0.0176536
100,3.0303030,0.0303030,0.0644095,-0.0024095,0.0006343,0.9997900,0.0068019,-0.0050485,-0.0186590
101,3.0606062,0.0303030,0.0640391,-0.0024987,0.0006938,0.9997809,0.0053633,-0.0055184,-0.0194671
