frame,t,valid,px,py,pz,body_qw,body_qx,body_qy,body_qz,camera_qw,camera_qx,camera_qy,camera_qz,vx,vy,vz,ax,ay,az,goal_x,goal_y,goal_z,collision,min_clearance
19,0.5757576,1,-15.8111334,11.2657719,3.7326145,0.9846033,0.1737058,0.0015027,-0.0195011,0.9846033,0.1737058,0.0015027,-0.0195011,2.7678509,-0.1049257,-0.0269633,-1.9478673,-4.1814075,0.0004163,2.2287426,16.7084503,3.6049671,0,1.6962991
20,0.6060606,1,-15.7288179,11.2585373,3.7317979,0.9838122,0.1736925,-0.0027474,-0.0440091,0.9838122,0.1736925,-0.0027474,-0.0440091,2.7164087,-0.2387439,-0.0269489,-1.6975878,-4.4159999,0.0004729,2.2287426,16.7084503,3.6049671,0,1.6275184
21,0.6363636,1,-15.6477699,11.2470579,3.7309818,0.9822988,0.1735616,-0.0073088,-0.0700869,0.9822988,0.1735616,-0.0073088,-0.0700869,2.6745942,-0.3788195,-0.0269328,-1.3798796,-4.6224966,0.0005326,2.2287426,16.7084503,3.6049671,0,1.5667973
22,0.6666667,1,-15.5676355,11.2311811,3.7301662,0.9800053,0.1732963,-0.0120623,-0.0970177,0.9800053,0.1732963,-0.0120623,-0.0970177,2.6444311,-0.5239246,-0.0269148,-0.9953769,-4.7884693,0.0005950,2.2287426,16.7084503,3.6049671,0,1.5146227
23,0.6969697,1,-15.4880056,11.2108049,3.7293513,0.9769731,0.1728956,-0.0168494,-0.1238829,0.9769731,0.1728956,-0.0168494,-0.1238829,2.6277890,-0.6724151,-0.0268948,-0.5491872,-4.9001865,0.0006596,2.2287426,16.7084503,3.6049671,0,1.4714663
24,0.7272727,1,-15.4084234,11.1858892,3.7285368,0.9733568,0.1723783,-0.0214897,-0.1496678,0.9733568,0.1723783,-0.0214897,-0.1496678,2.6262188,-0.8222291,-0.0268728,-0.0518209,-4.9438596,0.0007255,2.2287426,16.7084503,3.6049671,0,1.4377694
25,0.7575758,1,-15.3283997,11.1564665,3.7277234,0.9694096,0.1717822,-0.0258066,-0.1734065,0.9694096,0.1717822,-0.0258066,-0.1734065,2.6407809,-0.9709398,-0.0268488,0.4805492,-4.9074516,0.0007922,2.2287426,16.7084503,3.6049671,0,1.4139233
26,0.7878788,1,-15.2474327,11.1226521,3.7269106,0.9654356,0.1711566,-0.0296526,-0.1943202,0.9654356,0.1711566,-0.0296526,-0.1943202,2.6718974,-1.1158700,-0.0268228,1.0268440,-4.7826958,0.0008586,2.2287426,16.7084503,3.6049671,0,1.4002461
27,0.8181819,1,-15.1652422,11.0846386,3.7260985,0.9616190,0.1705377,-0.0330070,-0.2124058,0.9616190,0.1705377,-0.0330070,-0.2124058,2.7122846,-1.2544471,-0.0267948,1.3327760,-4.5730448,0.0009241,2.2287426,16.7084503,3.6049671,0,1.3969905
28,0.8484849,1,-15.0818787,11.0426407,3.7252874,0.9599488,0.1581626,-0.0331835,-0.2288703,0.9599488,0.1581626,-0.0331835,-0.2288703,2.7509894,-1.3859286,-0.0267648,1.2772638,-4.3388901,0.0009882,2.2287426,16.7084503,3.6049671,0,1.4043138
29,0.8787879,1,-14.9973917,10.9968815,3.7244773,0.9584132,0.1452023,-0.0324964,-0.2435251,0.9584132,0.1452023,-0.0324964,-0.2435251,2.7880626,-1.5100620,-0.0267330,1.2234169,-4.0964017,0.0010510,2.2287426,16.7084503,3.6049671,0,1.4217453
30,0.9090909,1,-14.9118299,10.9475889,3.7236683,0.9568964,0.1325992,-0.0312619,-0.2564947,0.9568964,0.1325992,-0.0312619,-0.2564947,2.8235528,-1.6266392,-0.0266993,1.1711755,-3.8470495,0.0011124,2.2287426,16.7084503,3.6049671,0,1.4441195
31,0.9393940,1,-14.8252392,10.8949986,3.7228603,0.9554310,0.1203875,-0.0295857,-0.2679239,0.9554310,0.1203875,-0.0295857,-0.2679239,2.8575022,-1.7354947,-0.0266637,1.1203270,-3.5922325,0.0011726,2.2287426,16.7084503,3.6049671,0,1.4697914
32,0.9696970,1,-14.7376671,10.8393478,3.7220535,0.9540383,0.1086114,-0.0275672,-0.2779471,0.9540383,0.1086114,-0.0275672,-0.2779471,2.8898692,-1.8364743,-0.0266264,1.0681130,-3.3323240,0.0012317,2.2287426,16.7084503,3.6049671,0,1.4985237
33,1.0000000,1,-14.6491652,10.7808800,3.7212479,0.9527342,0.0972994,-0.0252925,-0.2866890,0.9527342,0.0972994,-0.0252925,-0.2866890,2.9205754,-1.9294523,-0.0265873,1.0132998,-3.0682721,0.0012898,2.2287426,16.7084503,3.6049671,0,1.5300732
34,1.0303030,1,-14.5597849,10.7198391,3.7204435,0.9515308,0.0864663,-0.0228346,-0.2942640,0.9515308,0.0864663,-0.0228346,-0.2942640,2.9495332,-2.0143435,-0.0265465,0.9556115,-2.8014073,0.0013468,2.2287426,16.7084503,3.6049671,0,1.5641956
35,1.0606061,1,-14.4695835,10.6564722,3.7196403,0.9504364,0.0761202,-0.0202563,-0.3007758,0.9504364,0.0761202,-0.0202563,-0.3007758,2.9766486,-2.0911019,-0.0265040,0.8948070,-2.5330276,0.0014028,2.2287426,16.7084503,3.6049671,0,1.6014543
36,1.0909091,1,-14.3786192,10.5910263,3.7188385,0.9494565,0.0662652,-0.0176109,-0.3063187,0.9494565,0.0662652,-0.0176109,-0.3063187,3.0018208,-2.1597204,-0.0264598,0.8306807,-2.2644105,0.0014580,2.2287426,16.7084503,3.6049671,0,1.6466038
37,1.1212121,1,-14.2869539,10.5237465,3.7180381,0.9485945,0.0569021,-0.0149439,-0.3109780,0.9485945,0.0569021,-0.0149439,-0.3109780,3.0249441,-2.2202294,-0.0264140,0.7630689,-1.9967942,0.0015123,2.2287426,16.7084503,3.6049671,0,1.6999559
38,1.1515152,1,-14.1946239,10.4548769,3.7172391,0.9479230,0.0471051,-0.0119831,-0.3147688,0.9479230,0.0471051,-0.0119831,-0.3147688,3.0468943,-2.2726898,-0.0263665,0.7243603,-1.7311969,0.0015658,2.2287426,16.7084503,3.6049671,0,1.7608526
39,1.1818182,1,-14.1013184,10.3846884,3.7164416,0.9481046,0.0256617,-0.0049748,-0.3168820,0.9481046,0.0256617,-0.0049748,-0.3168820,3.0790856,-2.3162057,-0.0263175,1.0623159,-1.4360223,0.0016185,2.2287426,16.7084503,3.6049671,0,1.8286612
40,1.2121212,1,-14.0067911,10.3134937,3.7156456,0.9483470,0.0046905,0.0019773,-0.3171941,0.9483470,0.0046905,0.0019773,-0.3171941,3.1194098,-2.3494205,-0.0262669,1.3307004,-1.0960898,0.0016697,2.2287426,16.7084503,3.6049671,0,1.9027481
41,1.2424242,1,-13.9108610,10.2416334,3.7148511,0.9486495,-0.0151686,0.0085435,-0.3158498,0.9486495,-0.0151686,0.0085435,-0.3158498,3.1656830,-2.3713815,-0.0262148,1.5270129,-0.7247119,0.0017190,2.2287426,16.7084503,3.6049671,0,1.9824889
42,1.2727273,1,-13.8134136,10.1694660,3.7140584,0.9490412,-0.0334936,0.0144919,-0.3130316,0.9490412,-0.0334936,0.0144919,-0.3130316,3.2157485,-2.3815141,-0.0261613,1.6521605,-0.3343706,0.0017660,2.2287426,16.7084503,3.6049671,0,2.0672715
43,1.3030304,1,-13.7143965,10.0973577,3.7132673,0.9495614,-0.0500595,0.0196872,-0.3089331,0.9495614,-0.0500595,0.0196872,-0.3089331,3.2675567,-2.3795788,-0.0261064,1.7096677,0.0638642,0.0018103,2.2287426,16.7084503,3.6049671,0,2.1565015
44,1.3333334,1,-13.6138144,10.0256720,3.7124779,0.9502441,-0.0647984,0.0240753,-0.3037392,0.9502441,-0.0647984,0.0240753,-0.3037392,3.3192201,-2.3656204,-0.0260503,1.7048905,0.4606304,0.0018517,2.2287426,16.7084503,3.6049671,0,2.2496073
45,1.3636364,1,-13.5117216,9.9547653,3.7116902,0.9511120,-0.0777548,0.0276617,-0.2976156,0.9511120,-0.0777548,0.0276617,-0.2976156,3.3690479,-2.3399131,-0.0259930,1.6443141,0.8483357,0.0018902,2.2287426,16.7084503,3.6049671,0,2.3460379
46,1.3939395,1,-13.4082193,9.8849802,3.7109044,0.9521728,-0.0890450,0.0304918,-0.2907029,0.9521728,-0.0890450,0.0304918,-0.2907029,3.4155629,-2.3029110,-0.0259347,1.5349962,1.2210670,0.0019257,2.2287426,16.7084503,3.6049671,0,2.4452660
47,1.4242425,1,-13.3034468,9.8166409,3.7101202,0.9534220,-0.0988262,0.0326334,-0.2831165,0.9534220,-0.0988262,0.0326334,-0.2831165,3.4575067,-2.2552016,-0.0258753,1.3841419,1.5744126,0.0019581,2.2287426,16.7084503,3.6049671,0,2.5467880
48,1.4545455,1,-13.1975727,9.7500505,3.7093379,0.9548450,-0.1072743,0.0341647,-0.2749473,0.9548450,-0.1072743,0.0341647,-0.2749473,3.4938345,-2.1974661,-0.0258151,1.1988211,1.9052665,0.0019878,2.2287426,16.7084503,3.6049671,0,2.6501260
49,1.4848485,1,-13.0907936,9.6854916,3.7085576,0.9564205,-0.1145698,0.0351656,-0.2662646,0.9564205,-0.1145698,0.0351656,-0.2662646,3.5237062,-2.1304471,-0.0257541,0.9857697,2.2116258,0.0020146,2.2287426,16.7084503,3.6049671,0,2.7548237
50,1.5151515,1,-12.9833279,9.6232204,3.7077792,0.9581369,-0.1207617,0.0356796,-0.2571330,0.9581369,-0.1207617,0.0356796,-0.2571330,3.5463672,-2.0549562,-0.0256923,0.7478145,2.4912000,0.0020390,2.2287426,16.7084503,3.6049671,0,2.8604488
51,1.5454546,1,-12.8754148,9.5634670,3.7070024,0.9599808,-0.1258881,0.0357500,-0.2476105,0.9599808,-0.1258881,0.0357500,-0.2476105,3.5611391,-1.9718632,-0.0256298,0.4874772,2.7420709,0.0020609,2.2287426,16.7084503,3.6049671,0,2.9665911
52,1.5757576,1,-12.7673073,9.5064354,3.7062275,0.9619209,-0.1301311,0.0354558,-0.2377330,0.9619209,-0.1301311,0.0354558,-0.2377330,3.5675383,-1.8820382,-0.0255668,0.2111745,2.9642222,0.0020809,2.2287426,16.7084503,3.6049671,0,3.0728619
53,1.6060606,1,-12.6592693,9.4523039,3.7054548,0.9639259,-0.1336608,0.0348660,-0.2275212,0.9639259,-0.1336608,0.0348660,-0.2275212,3.5652606,-1.7863353,-0.0255032,-0.0751605,3.1581950,0.0020990,2.2287426,16.7084503,3.6049671,0,3.1788929
54,1.6363637,1,-12.5515671,9.4012260,3.7046840,0.9659660,-0.1366360,0.0340396,-0.2169826,0.9659660,-0.1366360,0.0340396,-0.2169826,3.5541677,-1.6855782,-0.0254391,-0.3660668,3.3249857,0.0021155,2.2287426,16.7084503,3.6049671,0,3.2037838
55,1.6666667,1,-12.4444675,9.3533306,3.7039151,0.9680128,-0.1392054,0.0330253,-0.2061127,0.9680128,-0.1392054,0.0330253,-0.2061127,3.5342717,-1.5805489,-0.0253745,-0.6565660,3.4659677,0.0021308,2.2287426,16.7084503,3.6049671,0,3.1256590
56,1.6969697,1,-12.3382339,9.3087254,3.7031481,0.9700394,-0.1415080,0.0318620,-0.1948950,0.9700394,-0.1415080,0.0318620,-0.1948950,3.5057220,-1.4719788,-0.0253095,-0.9421362,3.5828149,0.0021452,2.2287426,16.7084503,3.6049671,0,3.0496516
57,1.7272727,1,-12.2331190,9.2674971,3.7023830,0.9720203,-0.1436732,0.0305786,-0.1833019,0.9720203,-0.1436732,0.0305786,-0.1833019,3.4687917,-1.3605418,-0.0252441,-1.2186991,3.6774187,0.0021589,2.2287426,16.7084503,3.6049671,0,2.9760723
58,1.7575758,1,-12.1293659,9.2297134,3.7016201,0.9739313,-0.1458206,0.0291942,-0.1712949,0.9739313,-0.1458206,0.0291942,-0.1712949,3.4238639,-1.2468498,-0.0251782,-1.4826223,3.7518358,0.0021723,2.2287426,16.7084503,3.6049671,0,2.9052248
59,1.7878789,1,-12.0272017,9.1954269,3.7008591,0.9757485,-0.1480583,0.0277181,-0.1588246,0.9757485,-0.1480583,0.0277181,-0.1588246,3.3714187,-1.1314497,-0.0251120,-1.7306895,3.8082011,0.0021855,2.2287426,16.7084503,3.6049671,0,2.8374021
60,1.8181819,1,-11.9268370,9.1646748,3.7001002,0.9774481,-0.1504813,0.0261496,-0.1458310,0.9774481,-0.1504813,0.0261496,-0.1458310,3.3120217,-1.0148232,-0.0250454,-1.9600987,3.8486755,0.0021988,2.2287426,16.7084503,3.6049671,0,2.7728865
61,1.8484849,1,-11.8284636,9.1374807,3.6993432,0.9790056,-0.1531683,0.0244775,-0.1322437,0.9790056,-0.1531683,0.0244775,-0.1322437,3.2463114,-0.8973878,-0.0249783,-2.1684394,3.8753681,0.0022124,2.2287426,16.7084503,3.6049671,0,2.7119458
62,1.8787880,1,-11.7322521,9.1138592,3.6985884,0.9803947,-0.1561782,0.0226808,-0.1179835,0.9803947,-0.1561782,0.0226808,-0.1179835,3.1749876,-0.7795006,-0.0249109,-2.3536866,3.8902783,0.0022266,2.2287426,16.7084503,3.6049671,0,2.6548345
63,1.9090910,1,-11.6383495,9.0938148,3.6978354,0.9815875,-0.1595458,0.0207290,-0.1029628,0.9815875,-0.1595458,0.0207290,-0.1029628,3.0988002,-0.6614632,-0.0248429,-2.5141792,3.8952341,0.0022414,2.2287426,16.7084503,3.6049671,0,2.6017890
64,1.9393940,1,-11.5468788,9.0773439,3.6970847,0.9825533,-0.1632764,0.0185825,-0.0870892,0.9825533,-0.1632764,0.0185825,-0.0870892,3.0185390,-0.5435289,-0.0247745,-2.6486216,3.8918319,0.0022570,2.2287426,16.7084503,3.6049671,0,2.5530269
65,1.9696970,1,-11.4579391,9.0644379,3.6963360,0.9832582,-0.1673414,0.0161949,-0.0702684,0.9832582,-0.1673414,0.0161949,-0.0702684,2.9350219,-0.4259108,-0.0247057,-2.7560627,3.8813961,0.0022734,2.2287426,16.7084503,3.6049671,0,2.5087473
66,2.0000000,1,-11.3716030,9.0550804,3.6955895,0.9836662,-0.1716722,0.0135162,-0.0524096,0.9836662,-0.1716722,0.0135162,-0.0524096,2.8490858,-0.3087918,-0.0246362,-2.8358893,3.8649290,0.0022908,2.2287426,16.7084503,3.6049671,0,2.4691265
67,2.0303030,1,-11.2879190,9.0492525,3.6948452,0.9842297,-0.1733897,0.0104029,-0.0334617,0.9842297,-0.1733897,0.0104029,-0.0334617,2.7615757,-0.1923343,-0.0245663,-2.8878298,3.8430963,0.0023091,2.2287426,16.7084503,3.6049671,0,2.4343195
68,2.0606060,1,-11.2069092,9.0469284,3.6941030,0.9847075,-0.1735639,0.0069994,-0.0133263,0.9847075,-0.1735639,0.0069994,-0.0133263,2.6733351,-0.0766918,-0.0244957,-2.9119372,3.8162010,0.0023283,2.2287426,16.7084503,3.6049671,0,2.4044557
69,2.0909092,1,-11.1285696,9.0480795,3.6933630,0.9847642,-0.1736757,0.0033759,0.0080537,0.9847642,-0.1736757,0.0033759,0.0080537,2.5851955,0.0379808,-0.0244246,-2.9086030,3.7841966,0.0023484,2.2287426,16.7084503,3.6049671,0,2.3796384
70,2.1212122,1,-11.0528736,9.0526705,3.6926250,0.9843187,-0.1737116,-0.0004698,0.0306704,0.9843187,-0.1737116,-0.0004698,0.0306704,2.4979668,0.1515174,-0.0243528,-2.8785522,3.7467074,0.0023693,2.2287426,16.7084503,3.6049671,0,2.3599446
71,2.1515152,1,-10.9797697,9.0606623,3.6918893,0.9832889,-0.1736568,-0.0045304,0.0544579,0.9832889,-0.1736568,-0.0045304,0.0544579,2.4124262,0.2637315,-0.0242803,-2.8228343,3.7030652,0.0023909,2.2287426,16.7084503,3.6049671,0,2.3454230
72,2.1818182,1,-10.9091845,9.0720081,3.6911557,0.9815987,-0.1734970,-0.0087866,0.0792808,0.9815987,-0.1734970,-0.0087866,0.0792808,2.3293107,0.3744091,-0.0242072,-2.7428157,3.6523612,0.0024131,2.2287426,16.7084503,3.6049671,0,2.3360927
73,2.2121212,1,-10.8410234,9.0866537,3.6904244,0.9791887,-0.1732200,-0.0132057,0.1049271,0.9791887,-0.1732200,-0.0132057,0.1049271,2.2493055,0.4833039,-0.0241334,-2.6401696,3.5935280,0.0024358,2.2287426,16.7084503,3.6049671,0,2.3319435
74,2.2424242,1,-10.7751741,9.1045370,3.6896954,0.9760277,-0.1728171,-0.0177412,0.1311090,0.9760277,-0.1728171,-0.0177412,0.1311090,2.1730373,0.5901345,-0.0240589,-2.5168488,3.5254109,0.0024588,2.2287426,16.7084503,3.6049671,0,2.3329360
75,2.2727273,1,-10.7115059,9.1255846,3.6889687,0.9721220,-0.1722860,-0.0223343,0.1574728,0.9721220,-0.1722860,-0.0223343,0.1574728,2.1010666,0.6945845,-0.0239837,-2.3750360,3.4468503,0.0024819,2.2287426,16.7084503,3.6049671,0,2.3390005
76,2.3030305,1,-10.6498728,9.1497154,3.6882441,0.9675236,-0.1716314,-0.0269165,0.1836194,0.9675236,-0.1716314,-0.0269165,0.1836194,2.0338812,0.7963052,-0.0239077,-2.2171164,3.3567822,0.0025049,2.2287426,16.7084503,3.6049671,0,2.3500388
77,2.3333335,1,-10.5901184,9.1768341,3.6875219,0.9623314,-0.1708662,-0.0314147,0.2091319,0.9623314,-0.1708662,-0.0314147,0.2091319,1.9718937,0.8949202,-0.0238311,-2.0455897,3.2542949,0.0025278,2.2287426,16.7084503,3.6049671,0,2.3659256
78,2.3636365,1,-10.5320778,9.2068300,3.6868021,0.9566894,-0.1700116,-0.0357527,0.2335877,0.9566894,-0.1700116,-0.0357527,0.2335877,1.9153328,0.9898790,-0.0237539,-1.8665100,3.1336408,0.0025502,2.2287426,16.7084503,3.6049671,0,2.3865082
79,2.3939395,1,-10.4755878,9.2395697,3.6860847,0.9518185,-0.1631289,-0.0382472,0.2568417,0.9518185,-0.1631289,-0.0382472,0.2568417,1.8641640,1.0804207,-0.0236759,-1.6885697,2.9878757,0.0025721,2.2287426,16.7084503,3.6049671,0,2.4116087
80,2.4242425,1,-10.4204874,9.2748966,3.6853697,0.9475701,-0.1516702,-0.0388236,0.2785671,0.9475701,-0.1516702,-0.0388236,0.2785671,1.8183017,1.1657814,-0.0235973,-1.5134580,2.8169026,0.0025933,2.2287426,16.7084503,3.6049671,0,2.4410226
81,2.4545455,1,-10.3666201,9.3126297,3.6846571,0.9435009,-0.1389401,-0.0382003,0.2983998,0.9435009,-0.1389401,-0.0382003,0.2983998,1.7776258,1.2452029,-0.0235181,-1.3423040,2.6209092,0.0026138,2.2287426,16.7084503,3.6049671,0,2.4745190
82,2.4848485,1,-10.3138323,9.3525677,3.6839468,0.9396988,-0.1252248,-0.0364230,0.3161621,0.9396988,-0.1252248,-0.0364230,0.3161621,1.7419873,1.3179462,-0.0234383,-1.1760696,2.4005289,0.0026334,2.2287426,16.7084503,3.6049671,0,2.5118430
83,2.5151515,1,-10.2619772,9.3944864,3.6832390,0.9362399,-0.1107870,-0.0335869,0.3317427,0.9362399,-0.1107870,-0.0335869,0.3317427,1.7112154,1.3833053,-0.0233580,-1.0154749,2.1568499,0.0026523,2.2287426,16.7084503,3.6049671,0,2.5527141
84,2.5454545,1,-10.2109127,9.4381418,3.6825335,0.9331881,-0.0958513,-0.0298197,0.3450844,0.9331881,-0.0958513,-0.0298197,0.3450844,1.6851264,1.4406208,-0.0232770,-0.8609364,1.8914107,0.0026704,2.2287426,16.7084503,3.6049671,0,2.5968304
85,2.5757577,1,-10.1605024,9.4832716,3.6818306,0.9305956,-0.0805961,-0.0252655,0.3561709,0.9305956,-0.0805961,-0.0252655,0.3561709,1.6635348,1.4892937,-0.0231956,-0.7125238,1.6062045,0.0026877,2.2287426,16.7084503,3.6049671,0,2.6438682
86,2.6060607,1,-10.1106157,9.5295992,3.6811302,0.9285037,-0.0651502,-0.0200719,0.3650117,0.9285037,-0.0651502,-0.0200719,0.3650117,1.6462643,1.5287980,-0.0231136,-0.5699244,1.3036408,0.0027042,2.2287426,16.7084503,3.6049671,0,2.6934872
87,2.6363637,1,-10.0611258,9.5768328,3.6804323,0.9269440,-0.0495954,-0.0143812,0.3716295,0.9269440,-0.0495954,-0.0143812,0.3716295,1.6331602,1.5586931,-0.0230312,-0.4324363,0.9865364,0.0027201,2.2287426,16.7084503,3.6049671,0,2.7453294
88,2.6666667,1,-10.0119104,9.6246700,3.6797369,0.9259393,-0.0339736,-0.0083266,0.3760491,0.9259393,-0.0339736,-0.0083266,0.3760491,1.6241002,1.5786355,-0.0229483,-0.2989800,0.6581001,0.0027355,2.2287426,16.7084503,3.6049671,0,2.7990246
89,2.6969697,1,-9.9628496,9.6728029,3.6790440,0.9255047,-0.0182955,-0.0020320,0.3782884,0.9255047,-0.0182955,-0.0020320,0.3782884,1.6190054,1.5883904,-0.0228650,-0.1681285,0.3219131,0.0027505,2.2287426,16.7084503,3.6049671,0,2.8541934
90,2.7272727,1,-9.9138241,9.7209196,3.6783538,0.9256472,-0.0025527,0.0043848,0.3783537,0.9256472,-0.0025527,0.0043848,0.3783537,1.6178492,1.5878420,-0.0227812,-0.0381564,-0.0180969,0.0027651,2.2287426,16.7084503,3.6049671,0,2.9104509
91,2.7575758,1,-9.8647127,9.7687073,3.6776659,0.9263656,0.0132668,0.0108054,0.3762368,0.9263656,0.0132668,0.0108054,0.3762368,1.6206632,1.5770043,-0.0226970,0.0928598,-0.3576425,0.0027795,2.2287426,16.7084503,3.6049671,0,2.9674084
92,2.7878790,1,-9.8153954,9.8158617,3.6769807,0.9276475,0.0290324,0.0170529,0.3719362,0.9276475,0.0290324,0.0170529,0.3719362,1.6274856,1.5560944,-0.0226123,0.2251417,-0.6900251,0.0027939,2.2287426,16.7084503,3.6049671,0,3.0246842
93,2.8181820,1,-9.7657480,9.8620882,3.6762981,0.9294744,0.0446579,0.0229717,0.3654525,0.9294744,0.0446579,0.0229717,0.3654525,1.6383587,1.5254730,-0.0225272,0.3588120,-1.0105053,0.0028082,2.2287426,16.7084503,3.6049671,0,3.0819042
94,2.8484850,1,-9.7156458,9.9071083,3.6756182,0.9318188,0.0600790,0.0284210,0.3567862,0.9318188,0.0600790,0.0284210,0.3567862,1.6533809,1.4856478,-0.0224417,0.4957310,-1.3142323,0.0028225,2.2287426,16.7084503,3.6049671,0,3.1062911
